categoryId:ID,code,icdVersion,title,:LABEL
icd_Z79_v10,Z79,10,Long term (current) drug therapy,ICD_Category
icd_458_v9,458,9,Hypotension of hemodialysis,ICD_Category
icd_540_v9,540,9,Acute appendicitis without mention of peritonitis,ICD_Category
icd_244_v9,244,9,Iodine hypothyroidism,ICD_Category
icd_851_v9,851,9,"Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",ICD_Category
icd_507_v9,507,9,Pneumonitis due to other solids and liquids,ICD_Category
icd_112_v9,112,9,Candidiasis of unspecified site,ICD_Category
icd_331_v9,331,9,Senile degeneration of brain,ICD_Category
icd_294_v9,294,9,"Dementia, unspecified, with behavioral disturbance",ICD_Category
icd_715_v9,715,9,"Osteoarthrosis, localized, primary, hand",ICD_Category
icd_799_v9,799,9,Irritability,ICD_Category
icd_263_v9,263,9,Malnutrition of moderate degree,ICD_Category
icd_438_v9,438,9,"Late effects of cerebrovascular disease, other speech and language deficits",ICD_Category
icd_486_v9,486,9,"Pneumonia, organism unspecified",ICD_Category
icd_443_v9,443,9,Peripheral angiopathy in diseases classified elsewhere,ICD_Category
icd_311_v9,311,9,"Depressive disorder, not elsewhere classified",ICD_Category
icd_783_v9,783,9,Abnormal weight gain,ICD_Category
icd_281_v9,281,9,Other vitamin B12 deficiency anemia,ICD_Category
icd_599_v9,599,9,Urethral diverticulum,ICD_Category
icd_V64_v9,V64,9,Surgical or other procedure not carried out because of contraindication,ICD_Category
icd_425_v9,425,9,Nutritional and metabolic cardiomyopathy,ICD_Category
icd_356_v9,356,9,Idiopathic progressive polyneuropathy,ICD_Category
icd_997_v9,997,9,Vascular complications of renal artery,ICD_Category
icd_E86_v10,E86,10,Volume depletion,ICD_Category
icd_J98_v10,J98,10,Other respiratory disorders,ICD_Category
icd_N17_v10,N17,10,Acute kidney failure,ICD_Category
icd_L93_v10,L93,10,Lupus erythematosus,ICD_Category
icd_R00_v10,R00,10,Abnormalities of heart beat,ICD_Category
icd_Z87_v10,Z87,10,Personal history of other diseases and conditions,ICD_Category
icd_E87_v10,E87,10,"Other disorders of fluid, electrolyte and acid-base balance",ICD_Category
icd_I30_v10,I30,10,Acute pericarditis,ICD_Category
icd_J90_v10,J90,10,"Pleural effusion, not elsewhere classified",ICD_Category
icd_Z86_v10,Z86,10,Personal history of certain other diseases,ICD_Category
icd_Z82_v10,Z82,10,Family history of certain disabilities and chronic diseases (leading to disablement),ICD_Category
icd_K21_v10,K21,10,Gastro-esophageal reflux disease,ICD_Category
icd_I82_v10,I82,10,Other venous embolism and thrombosis,ICD_Category
icd_Z91_v10,Z91,10,"Personal risk factors, not elsewhere classified",ICD_Category
icd_I27_v10,I27,10,Other pulmonary heart diseases,ICD_Category
icd_Z95_v10,Z95,10,Presence of cardiac and vascular implants and grafts,ICD_Category
icd_R14_v10,R14,10,Flatulence and related conditions,ICD_Category
icd_I50_v10,I50,10,Heart failure,ICD_Category
icd_I47_v10,I47,10,Paroxysmal tachycardia,ICD_Category
icd_I26_v10,I26,10,Pulmonary embolism,ICD_Category
icd_C90_v10,C90,10,Multiple myeloma and malignant plasma cell neoplasms,ICD_Category
icd_D47_v10,D47,10,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",ICD_Category
icd_456_v9,456,9,Varices of other sites,ICD_Category
icd_571_v9,571,9,Biliary cirrhosis,ICD_Category
icd_410_v9,410,9,"True posterior wall infarction, initial episode of care",ICD_Category
icd_572_v9,572,9,Portal pyemia,ICD_Category
icd_286_v9,286,9,Congenital factor XI deficiency,ICD_Category
icd_459_v9,459,9,Chronic venous hypertension with ulcer,ICD_Category
icd_789_v9,789,9,Splenomegaly,ICD_Category
icd_780_v9,780,9,Transient alteration of awareness,ICD_Category
icd_008_v9,008,9,Intestinal infection due to enteropathogenic E. coli,ICD_Category
icd_786_v9,786,9,Wheezing,ICD_Category
icd_785_v9,785,9,Other abnormal heart sounds,ICD_Category
icd_802_v9,802,9,"Closed fracture of mandible, condylar process",ICD_Category
icd_E96_v9,E96,9,Assault by cutting and piercing instrument,ICD_Category
icd_F17_v10,F17,10,Nicotine dependence,ICD_Category
icd_F41_v10,F41,10,Other anxiety disorders,ICD_Category
icd_441_v9,441,9,"Thoracoabdominal aneurysm, ruptured",ICD_Category
icd_564_v9,564,9,Other constipation,ICD_Category
icd_V13_v9,V13,9,Personal history of other specified urinary system disorders,ICD_Category
icd_477_v9,477,9,Allergic rhinitis due to pollen,ICD_Category
icd_423_v9,423,9,Hemopericardium,ICD_Category
icd_411_v9,411,9,Acute coronary occlusion without myocardial infarction,ICD_Category
icd_729_v9,729,9,"Hypertrophy of fat pad, knee",ICD_Category
icd_618_v9,618,9,Prolapse of vaginal vault after hysterectomy,ICD_Category
icd_E93_v9,E93,9,Erythromycin and other macrolides causing adverse effects in therapeutic use,ICD_Category
icd_314_v9,314,9,Unspecified hyperkinetic syndrome,ICD_Category
icd_333_v9,333,9,Restless legs syndrome (RLS),ICD_Category
icd_300_v9,300,9,Social phobia,ICD_Category
icd_457_v9,457,9,Other noninfectious disorders of lymphatic channels,ICD_Category
icd_444_v9,444,9,Saddle embolus of abdominal aorta,ICD_Category
icd_196_v9,196,9,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,ICD_Category
icd_532_v9,532,9,"Chronic duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction",ICD_Category
icd_553_v9,553,9,"Ventral, unspecified, hernia without mention of obstruction or gangrene",ICD_Category
icd_288_v9,288,9,Other neutropenia,ICD_Category
icd_531_v9,531,9,"Chronic or unspecified gastric ulcer with perforation, with obstruction",ICD_Category
icd_J45_v10,J45,10,Asthma,ICD_Category
icd_I21_v10,I21,10,Acute myocardial infarction,ICD_Category
icd_Z23_v10,Z23,10,Encounter for immunization,ICD_Category
icd_I71_v10,I71,10,Aortic aneurysm and dissection,ICD_Category
icd_150_v9,150,9,Malignant neoplasm of upper third of esophagus,ICD_Category
icd_720_v9,720,9,Other inflammatory spondylopathies,ICD_Category
icd_429_v9,429,9,Acquired cardiac septal defect,ICD_Category
icd_526_v9,526,9,Unspecified disease of the jaws,ICD_Category
icd_431_v9,431,9,Intracerebral hemorrhage,ICD_Category
icd_V49_v9,V49,9,Foot amputation status,ICD_Category
icd_239_v9,239,9,"Neoplasm of unspecified nature, site unspecified",ICD_Category
icd_737_v9,737,9,Lordosis associated with other conditions,ICD_Category
icd_756_v9,756,9,Chondrodystrophy,ICD_Category
icd_162_v9,162,9,"Malignant neoplasm of lower lobe, bronchus or lung",ICD_Category
icd_J44_v10,J44,10,Other chronic obstructive pulmonary disease,ICD_Category
icd_R65_v10,R65,10,Symptoms and signs specifically associated with systemic inflammation and infection,ICD_Category
icd_E03_v10,E03,10,Other hypothyroidism,ICD_Category
icd_J18_v10,J18,10,"Pneumonia, unspecified organism",ICD_Category
icd_K64_v10,K64,10,Hemorrhoids and perianal venous thrombosis,ICD_Category
icd_Z66_v10,Z66,10,Do not resuscitate,ICD_Category
icd_A41_v10,A41,10,Other sepsis,ICD_Category
icd_426_v9,426,9,First degree atrioventricular block,ICD_Category
icd_I87_v10,I87,10,Other disorders of veins,ICD_Category
icd_V11_v9,V11,9,Personal history of other mental disorders,ICD_Category
icd_335_v9,335,9,Werdnig-Hoffmann disease,ICD_Category
icd_253_v9,253,9,Other disorders of neurohypophysis,ICD_Category
icd_136_v9,136,9,Specific infection due to acanthamoeba,ICD_Category
icd_225_v9,225,9,Benign neoplasm of cranial nerves,ICD_Category
icd_821_v9,821,9,"Open fracture of condyle, femoral",ICD_Category
icd_F39_v10,F39,10,Unspecified mood [affective] disorder,ICD_Category
icd_Z59_v10,Z59,10,Problems related to housing and economic circumstances,ICD_Category
icd_719_v9,719,9,"Villonodular synovitis, site unspecified",ICD_Category
icd_451_v9,451,9,Phlebitis and thrombophlebitis of deep veins of upper extremities,ICD_Category
icd_I60_v10,I60,10,Nontraumatic subarachnoid hemorrhage,ICD_Category
icd_R62_v10,R62,10,Lack of expected normal physiological development in childhood and adults,ICD_Category
icd_B95_v10,B95,10,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere",ICD_Category
icd_K66_v10,K66,10,Other disorders of peritoneum,ICD_Category
icd_K72_v10,K72,10,"Hepatic failure, not elsewhere classified",ICD_Category
icd_Y84_v10,Y84,10,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",ICD_Category
icd_K75_v10,K75,10,Other inflammatory liver diseases,ICD_Category
icd_R57_v10,R57,10,"Shock, not elsewhere classified",ICD_Category
icd_J96_v10,J96,10,"Respiratory failure, not elsewhere classified",ICD_Category
icd_T80_v10,T80,10,"Complications following infusion, transfusion and therapeutic injection",ICD_Category
icd_R18_v10,R18,10,Ascites,ICD_Category
icd_D63_v10,D63,10,Anemia in chronic diseases classified elsewhere,ICD_Category
icd_E43_v10,E43,10,Unspecified severe protein-calorie malnutrition,ICD_Category
icd_K65_v10,K65,10,Peritonitis,ICD_Category
icd_N39_v10,N39,10,Other disorders of urinary system,ICD_Category
icd_K76_v10,K76,10,Other diseases of liver,ICD_Category
icd_I12_v10,I12,10,Hypertensive chronic kidney disease,ICD_Category
icd_K74_v10,K74,10,Fibrosis and cirrhosis of liver,ICD_Category
icd_D68_v10,D68,10,Other coagulation defects,ICD_Category
icd_J95_v10,J95,10,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",ICD_Category
icd_T81_v10,T81,10,"Complications of procedures, not elsewhere classified",ICD_Category
icd_K56_v10,K56,10,Paralytic ileus and intestinal obstruction without hernia,ICD_Category
icd_B96_v10,B96,10,Other bacterial agents as the cause of diseases classified elsewhere,ICD_Category
icd_N18_v10,N18,10,Chronic kidney disease (CKD),ICD_Category
icd_575_v9,575,9,Acute cholecystitis,ICD_Category
icd_156_v9,156,9,Malignant neoplasm of gallbladder,ICD_Category
icd_197_v9,197,9,Secondary malignant neoplasm of mediastinum,ICD_Category
icd_751_v9,751,9,Meckel's diverticulum,ICD_Category
icd_570_v9,570,9,Acute and subacute necrosis of liver,ICD_Category
icd_299_v9,299,9,"Other specified pervasive developmental disorders, residual state",ICD_Category
icd_583_v9,583,9,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of rapidly progressive glomerulonephritis",ICD_Category
icd_576_v9,576,9,Spasm of sphincter of Oddi,ICD_Category
icd_428_v9,428,9,"Combined systolic and diastolic heart failure, unspecified",ICD_Category
icd_593_v9,593,9,Nephroptosis,ICD_Category
icd_293_v9,293,9,Psychotic disorder with delusions in conditions classified elsewhere,ICD_Category
icd_908_v9,908,9,Late effect of internal injury to chest,ICD_Category
icd_070_v9,070,9,Viral hepatitis A without mention of hepatic coma,ICD_Category
icd_309_v9,309,9,Adjustment reaction with physical symptoms,ICD_Category
icd_E92_v9,E92,9,Excessive physical exertion,ICD_Category
icd_415_v9,415,9,Iatrogenic pulmonary embolism and infarction,ICD_Category
icd_496_v9,496,9,"Chronic airway obstruction, not elsewhere classified",ICD_Category
icd_491_v9,491,9,Simple chronic bronchitis,ICD_Category
icd_J94_v10,J94,10,Other pleural conditions,ICD_Category
icd_G93_v10,G93,10,Other disorders of brain,ICD_Category
icd_R47_v10,R47,10,"Speech disturbances, not elsewhere classified",ICD_Category
icd_R07_v10,R07,10,Pain in throat and chest,ICD_Category
icd_W18_v10,W18,10,"Other slipping, tripping and stumbling and falls",ICD_Category
icd_M48_v10,M48,10,Other spondylopathies,ICD_Category
icd_S22_v10,S22,10,"Fracture of rib(s), sternum and thoracic spine",ICD_Category
icd_R55_v10,R55,10,Syncope and collapse,ICD_Category
icd_569_v9,569,9,Mechanical complication of colostomy and enterostomy,ICD_Category
icd_567_v9,567,9,Choleperitonitis,ICD_Category
icd_557_v9,557,9,Chronic vascular insufficiency of intestine,ICD_Category
icd_V55_v9,V55,9,Attention to unspecified artificial opening,ICD_Category
icd_280_v9,280,9,Other specified iron deficiency anemias,ICD_Category
icd_514_v9,514,9,Pulmonary congestion and hypostasis,ICD_Category
icd_412_v9,412,9,Old myocardial infarction,ICD_Category
icd_813_v9,813,9,Open fracture of lower end of radius with ulna,ICD_Category
icd_368_v9,368,9,Fusion with defective stereopsis,ICD_Category
icd_587_v9,587,9,"Renal sclerosis, unspecified",ICD_Category
icd_578_v9,578,9,Blood in stool,ICD_Category
icd_793_v9,793,9,Other nonspecific abnormal finding of lung field,ICD_Category
icd_C7B_v10,C7B,10,Secondary neuroendocrine tumors,ICD_Category
icd_Z99_v10,Z99,10,"Dependence on enabling machines and devices, not elsewhere classified",ICD_Category
icd_Z51_v10,Z51,10,Encounter for other aftercare and medical care,ICD_Category
icd_J91_v10,J91,10,Pleural effusion in conditions classified elsewhere,ICD_Category
icd_E88_v10,E88,10,Other and unspecified metabolic disorders,ICD_Category
icd_R41_v10,R41,10,Other symptoms and signs involving cognitive functions and awareness,ICD_Category
icd_F43_v10,F43,10,"Reaction to severe stress, and adjustment disorders",ICD_Category
icd_C7A_v10,C7A,10,Malignant neuroendocrine tumors,ICD_Category
icd_440_v9,440,9,Other atherosclerosis of native arteries of the extremities,ICD_Category
icd_R31_v10,R31,10,Hematuria,ICD_Category
icd_A04_v10,A04,10,Other bacterial intestinal infections,ICD_Category
icd_X58_v10,X58,10,Exposure to other specified factors,ICD_Category
icd_S37_v10,S37,10,Injury of urinary and pelvic organs,ICD_Category
icd_T45_v10,T45,10,"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified",ICD_Category
icd_K29_v10,K29,10,Gastritis and duodenitis,ICD_Category
icd_255_v9,255,9,Other secondary aldosteronism,ICD_Category
icd_782_v9,782,9,"Localized superficial swelling, mass, or lump",ICD_Category
icd_537_v9,537,9,Fistula of stomach or duodenum,ICD_Category
icd_V72_v9,V72,9,"Laboratory examination, unspecified",ICD_Category
icd_V66_v9,V66,9,Convalescence following radiotherapy,ICD_Category
icd_728_v9,728,9,"Calcification and ossification, unspecified",ICD_Category
icd_791_v9,791,9,Myoglobinuria,ICD_Category
icd_D86_v10,D86,10,Sarcoidosis,ICD_Category
icd_T85_v10,T85,10,"Complications of other internal prosthetic devices, implants and grafts",ICD_Category
icd_J15_v10,J15,10,"Bacterial pneumonia, not elsewhere classified",ICD_Category
icd_Z00_v10,Z00,10,"Encounter for general examination without complaint, suspected or reported diagnosis",ICD_Category
icd_T38_v10,T38,10,"Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified",ICD_Category
icd_E10_v10,E10,10,Type 1 diabetes mellitus,ICD_Category
icd_357_v9,357,9,Polyneuropathy in diabetes,ICD_Category
icd_598_v9,598,9,"Urethral stricture, unspecified",ICD_Category
icd_416_v9,416,9,Chronic pulmonary embolism,ICD_Category
icd_752_v9,752,9,Longitudinal vaginal septum,ICD_Category
icd_349_v9,349,9,Other specified disorders of nervous system,ICD_Category
icd_202_v9,202,9,"Sezary's disease, intra-abdominal lymph nodes",ICD_Category
icd_154_v9,154,9,"Malignant neoplasm of anus, unspecified site",ICD_Category
icd_730_v9,730,9,"Periostitis, without mention of osteomyelitis, shoulder region",ICD_Category
icd_V44_v9,V44,9,Colostomy status,ICD_Category
icd_437_v9,437,9,Nonpyogenic thrombosis of intracranial venous sinus,ICD_Category
icd_V04_v9,V04,9,Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV),ICD_Category
icd_430_v9,430,9,Subarachnoid hemorrhage,ICD_Category
icd_198_v9,198,9,Secondary malignant neoplasm of kidney,ICD_Category
icd_707_v9,707,9,Ulcer of ankle,ICD_Category
icd_464_v9,464,9,Acute tracheitis without mention of obstruction,ICD_Category
icd_199_v9,199,9,Malignant neoplasm associated with transplant organ,ICD_Category
icd_275_v9,275,9,Disorders of iron metabolism,ICD_Category
icd_721_v9,721,9,Kissing spine,ICD_Category
icd_365_v9,365,9,Glaucoma associated with ocular inflammations,ICD_Category
icd_722_v9,722,9,Displacement of cervical intervertebral disc without myelopathy,ICD_Category
icd_266_v9,266,9,Ariboflavinosis,ICD_Category
icd_592_v9,592,9,Calculus of kidney,ICD_Category
icd_E94_v9,E94,9,"Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use",ICD_Category
icd_Z92_v10,Z92,10,Personal history of medical treatment,ICD_Category
icd_I13_v10,I13,10,Hypertensive heart and chronic kidney disease,ICD_Category
icd_W19_v10,W19,10,Unspecified fall,ICD_Category
icd_R40_v10,R40,10,"Somnolence, stupor and coma",ICD_Category
icd_S06_v10,S06,10,Intracranial injury,ICD_Category
icd_N20_v10,N20,10,Calculus of kidney and ureter,ICD_Category
icd_Z76_v10,Z76,10,Persons encountering health services in other circumstances,ICD_Category
icd_M25_v10,M25,10,"Other joint disorder, not elsewhere classified",ICD_Category
icd_M54_v10,M54,10,Dorsalgia,ICD_Category
icd_I35_v10,I35,10,Nonrheumatic aortic valve disorders,ICD_Category
